,corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm
9,00136721,신영증권,001720,Y,일괄신고추가서류(파생결합증권-주가연계증권),20201209000531,신영증권,20201209,
10,00164362,행남사,008800,K,기타시장안내(개선계획 이행내역서 제출 ),20201209900581,코스닥시장본부,20201209,코
11,01091382,마이더스AI,222810,K,"전환청구권행사(제6,9회차)",20201209900566,마이더스AI,20201209,코
12,00925967,이엠티,232530,N,주식명의개서정지(주주명부폐쇄),20201209600580,이엠티,20201209,넥
13,01248397,밸류웍스,,E,최대주주등의주식보유변동,20201209000528,밸류웍스,20201209,공
14,00458562,에이티세미콘,089530,K,[기재정정]신규시설투자등,20201209900579,에이티세미콘,20201209,코
15,00766106,트루윈,105550,K,주요사항보고서(전환사채권발행결정),20201209000516,트루윈,20201209,
16,00670085,엘아이에스,138690,K,소송등의제기ㆍ신청(일정금액이상의청구),20201209900570,엘아이에스,20201209,코
17,00260356,산은캐피탈,008270,E,투자설명서(일괄신고),20201209000527,산은캐피탈,20201209,
18,00299358,해덕파워웨이,102210,K,기타시장안내(개선계획 이행내역서 제출),20201209900578,코스닥시장본부,20201209,코
19,00453804,엔에이치아문디자산운용,,E,[기재정정]투자설명서(집합투자증권)(NH-Amundi차이나포르테증권자투자신탁[주식]),20201209000011,엔에이치아문디자산운용,20201209,
